Date,Heure,Température cible,Température Andeeraa (°C),Conductivité (mS/cm),Salinité (PSU),Relais
2025-06-30,13:06:54,16.00,15.127,37.725,30.213,1
2025-06-30,13:06:56,16.00,15.133,37.696,30.183,1
2025-06-30,13:06:59,16.00,15.155,37.667,30.140,1
2025-06-30,13:07:01,16.00,15.159,37.656,30.127,1
2025-06-30,13:07:03,16.00,15.162,37.673,30.140,1
2025-06-30,13:07:06,16.00,15.144,37.669,30.150,1
2025-06-30,13:07:09,16.00,15.136,37.669,30.156,1
2025-06-30,13:07:11,16.00,15.135,37.677,30.164,1
2025-06-30,13:07:14,16.00,15.141,37.673,30.156,1
2025-06-30,13:07:16,16.00,15.148,37.669,30.148,1
2025-06-30,13:07:18,16.00,15.153,37.675,30.149,1
2025-06-30,13:07:21,16.00,15.156,37.681,30.152,1
2025-06-30,13:07:23,16.00,15.159,37.695,30.162,1
2025-06-30,13:07:25,16.00,15.161,37.707,30.172,1
2025-06-30,13:07:27,16.00,15.164,37.700,30.163,1
2025-06-30,13:07:30,16.00,15.169,37.686,30.146,1
2025-06-30,13:07:32,16.00,15.171,37.688,30.147,1
2025-06-30,13:07:34,16.00,15.172,37.685,30.144,1
2025-06-30,13:07:37,16.00,15.167,37.694,30.155,1
2025-06-30,13:07:40,16.00,15.170,37.691,30.150,1
2025-06-30,13:07:42,16.00,15.170,37.691,30.150,1
2025-06-30,13:07:45,16.00,15.173,37.695,30.151,1
2025-06-30,13:07:47,16.00,15.180,37.697,30.148,1
2025-06-30,13:07:49,16.00,15.189,37.711,30.153,1
2025-06-30,13:07:52,16.00,15.186,37.719,30.163,1
2025-06-30,13:07:54,16.00,15.185,37.718,30.162,1
2025-06-30,13:07:56,16.00,15.186,37.718,30.161,1
2025-06-30,13:07:58,16.00,15.190,37.725,30.165,1
2025-06-30,13:08:01,16.00,15.195,37.731,30.165,1
2025-06-30,13:08:03,16.00,15.193,37.731,30.168,1
2025-06-30,13:08:05,16.00,15.197,37.731,30.165,1
2025-06-30,13:08:08,16.00,15.200,37.733,30.165,1
2025-06-30,13:08:11,16.00,15.205,37.738,30.165,1
2025-06-30,13:08:13,16.00,15.212,37.734,30.156,1
2025-06-30,13:08:16,16.00,15.215,37.749,30.167,1
2025-06-30,13:08:18,16.00,15.215,37.744,30.162,1
2025-06-30,13:08:20,16.00,15.215,37.746,30.163,1
2025-06-30,13:08:23,16.00,15.218,37.746,30.162,1
2025-06-30,13:08:25,16.00,15.223,37.749,30.160,1
2025-06-30,13:08:27,16.00,15.228,37.749,30.157,1
2025-06-30,13:08:29,16.00,15.222,37.758,30.169,1
2025-06-30,13:08:32,16.00,15.227,37.759,30.167,1
2025-06-30,13:08:34,16.00,15.233,37.745,30.150,1
2025-06-30,13:08:36,16.00,15.233,37.756,30.160,1
2025-06-30,13:08:39,16.00,15.236,37.760,30.161,1
2025-06-30,13:08:42,16.00,15.243,37.761,30.156,1
2025-06-30,13:08:44,16.00,15.246,37.761,30.154,1
2025-06-30,13:08:47,16.00,15.247,37.767,30.158,1
2025-06-30,13:08:49,16.00,15.252,37.783,30.169,1
2025-06-30,13:08:51,16.00,15.251,37.806,30.189,1
2025-06-30,13:08:54,16.00,15.262,37.804,30.179,1
2025-06-30,13:08:56,16.00,15.269,37.808,30.177,1
2025-06-30,13:08:58,16.00,15.274,37.809,30.174,1
2025-06-30,13:09:00,16.00,15.281,37.803,30.164,1
2025-06-30,13:09:03,16.00,15.285,37.800,30.158,1
2025-06-30,13:09:05,16.00,15.286,37.808,30.165,1
2025-06-30,13:09:07,16.00,15.281,37.831,30.189,1
2025-06-30,13:09:10,16.00,15.283,37.828,30.185,1
2025-06-30,13:09:13,16.00,15.286,37.814,30.170,1
2025-06-30,13:09:15,16.00,15.291,37.805,30.158,1
2025-06-30,13:09:18,16.00,15.290,37.789,30.145,1
2025-06-30,13:09:20,16.00,15.294,37.793,30.145,1
2025-06-30,13:09:22,16.00,15.295,37.802,30.152,1
2025-06-30,13:09:28,16.00,15.298,37.809,30.156,1
2025-06-30,13:09:31,16.00,15.302,37.809,30.153,1
2025-06-30,13:09:35,16.00,15.308,37.817,30.155,1
2025-06-30,13:09:38,16.00,15.313,37.820,30.154,1
2025-06-30,13:09:42,16.00,15.324,37.864,30.186,1
2025-06-30,13:09:45,16.00,15.323,37.856,30.178,1
2025-06-30,13:09:49,16.00,15.327,37.855,30.175,1
2025-06-30,13:09:52,16.00,15.335,37.848,30.163,1
2025-06-30,13:09:56,16.00,15.332,37.886,30.198,1
2025-06-30,13:09:59,16.00,15.328,37.874,30.191,1
2025-06-30,13:10:02,16.00,15.336,37.846,30.160,1
2025-06-30,13:10:06,16.00,15.344,37.845,30.153,1
2025-06-30,13:10:09,16.00,15.345,37.844,30.151,1
2025-06-30,13:10:13,16.00,15.349,37.854,30.157,1
2025-06-30,13:10:16,16.00,15.346,37.849,30.155,1
2025-06-30,13:10:20,16.00,15.353,37.861,30.160,1
2025-06-30,13:10:23,16.00,15.356,37.877,30.172,1
2025-06-30,13:10:27,16.00,15.361,37.881,30.172,1
2025-06-30,13:10:30,16.00,15.375,37.891,30.170,1
2025-06-30,13:10:33,16.00,15.381,37.889,30.164,1
2025-06-30,13:10:37,16.00,15.389,37.884,30.153,1
2025-06-30,13:10:40,16.00,15.385,37.897,30.168,1
2025-06-30,13:10:44,16.00,15.385,37.901,30.171,1
2025-06-30,13:10:47,16.00,15.389,37.901,30.168,1
2025-06-30,13:10:51,16.00,15.394,37.907,30.170,1
2025-06-30,13:10:54,16.00,15.401,37.906,30.163,1
2025-06-30,13:10:57,16.00,15.407,37.906,30.159,1
2025-06-30,13:11:01,16.00,15.412,37.921,30.168,1
2025-06-30,13:11:04,16.00,15.416,37.910,30.155,1
2025-06-30,13:11:08,16.00,15.415,37.911,30.157,1
2025-06-30,13:11:11,16.00,15.414,37.916,30.162,1
2025-06-30,13:11:15,16.00,15.421,37.912,30.153,1
2025-06-30,13:11:18,16.00,15.421,37.916,30.157,1
2025-06-30,13:11:22,16.00,15.423,37.925,30.163,1
2025-06-30,13:11:25,16.00,15.430,37.922,30.155,1
2025-06-30,13:11:28,16.00,15.439,37.925,30.151,1
2025-06-30,13:11:32,16.00,15.439,37.937,30.162,1
2025-06-30,13:11:35,16.00,15.447,37.941,30.159,1
2025-06-30,13:11:39,16.00,15.454,37.932,30.146,1
2025-06-30,13:11:42,16.00,15.458,37.950,30.159,1
2025-06-30,13:11:46,16.00,15.460,37.956,30.163,1
2025-06-30,13:11:49,16.00,15.466,37.950,30.153,1
2025-06-30,13:11:53,16.00,15.470,37.989,30.184,1
2025-06-30,13:11:56,16.00,15.479,37.974,30.163,1
2025-06-30,13:11:59,16.00,15.485,37.986,30.169,1
2025-06-30,13:12:03,16.00,15.490,37.975,30.156,1
2025-06-30,13:12:06,16.00,15.489,37.988,30.168,1
2025-06-30,13:12:10,16.00,15.495,37.993,30.168,1
2025-06-30,13:12:13,16.00,15.497,37.996,30.169,1
2025-06-30,13:12:17,16.00,15.501,37.993,30.164,1
2025-06-30,13:12:20,16.00,15.507,37.996,30.162,1
2025-06-30,13:12:24,16.00,15.514,38.007,30.166,1
2025-06-30,13:12:27,16.00,15.519,38.010,30.165,1
2025-06-30,13:12:30,16.00,15.521,38.018,30.171,1
2025-06-30,13:12:34,16.00,15.528,38.017,30.164,1
2025-06-30,13:12:37,16.00,15.534,38.020,30.162,1
2025-06-30,13:12:41,16.00,15.537,38.022,30.161,1
2025-06-30,13:12:44,16.00,15.538,38.027,30.165,1
2025-06-30,13:12:48,16.00,15.543,38.027,30.162,1
2025-06-30,13:12:51,16.00,15.553,38.041,30.167,1
2025-06-30,13:12:55,16.00,15.560,38.084,30.199,1
2025-06-30,13:12:58,16.00,15.565,38.059,30.173,1
2025-06-30,13:13:01,16.00,15.568,38.049,30.162,1
2025-06-30,13:13:05,16.00,15.564,38.041,30.157,1
2025-06-30,13:13:08,16.00,15.563,38.058,30.173,1
2025-06-30,13:13:12,16.00,15.568,38.064,30.175,1
2025-06-30,13:13:15,16.00,15.578,38.072,30.174,1
2025-06-30,13:13:19,16.00,15.582,38.075,30.174,1
2025-06-30,13:13:22,16.00,15.589,38.072,30.165,1
2025-06-30,13:13:26,16.00,15.599,38.069,30.156,1
2025-06-30,13:13:29,16.00,15.603,38.082,30.164,1
2025-06-30,13:13:32,16.00,15.603,38.079,30.162,1
2025-06-30,13:13:36,16.00,15.608,38.081,30.160,1
2025-06-30,13:13:39,16.00,15.613,38.077,30.153,1
2025-06-30,13:13:43,16.00,15.620,38.077,30.147,1
2025-06-30,13:13:46,16.00,15.627,38.083,30.147,1
2025-06-30,13:13:50,16.00,15.627,38.089,30.152,1
2025-06-30,13:13:53,16.00,15.636,38.098,30.152,1
2025-06-30,13:13:57,16.00,15.639,38.102,30.154,1
2025-06-30,13:14:00,16.00,15.639,38.090,30.144,1
2025-06-30,13:14:03,16.00,15.645,38.098,30.146,1
2025-06-30,13:14:07,16.00,15.649,38.104,30.148,1
2025-06-30,13:14:10,16.00,15.647,38.112,30.156,1
2025-06-30,13:14:14,16.00,15.648,38.114,30.158,1
2025-06-30,13:14:17,16.00,15.652,38.122,30.161,1
2025-06-30,13:14:21,16.00,15.657,38.121,30.158,1
2025-06-30,13:14:24,16.00,15.669,38.125,30.152,1
2025-06-30,13:14:28,16.00,15.666,38.126,30.155,1
2025-06-30,13:14:31,16.00,15.674,38.140,30.160,1
2025-06-30,13:14:34,16.00,15.674,38.138,30.159,1
2025-06-30,13:14:38,16.00,15.663,38.140,30.169,1
2025-06-30,13:14:41,16.00,15.660,38.133,30.165,1
2025-06-30,13:14:45,16.00,15.671,38.148,30.171,1
2025-06-30,13:14:48,16.00,15.677,38.129,30.148,1
2025-06-30,13:14:52,16.00,15.699,38.148,30.149,1
2025-06-30,13:14:55,16.00,15.703,38.144,30.142,1
2025-06-30,13:14:59,16.00,15.709,38.154,30.146,1
2025-06-30,13:15:02,16.00,15.711,38.174,30.163,1
2025-06-30,13:15:05,16.00,15.712,38.163,30.152,1
2025-06-30,13:15:09,16.00,15.719,38.157,30.141,1
2025-06-30,13:15:12,16.00,15.719,38.169,30.152,1
2025-06-30,13:15:16,16.00,15.722,38.185,30.163,1
2025-06-30,13:15:19,16.00,15.726,38.181,30.157,1
2025-06-30,13:15:23,16.00,15.730,38.191,30.163,1
2025-06-30,13:15:26,16.00,15.732,38.186,30.157,1
2025-06-30,13:15:30,16.00,15.737,38.181,30.148,1
2025-06-30,13:15:33,16.00,15.738,38.182,30.149,1
2025-06-30,13:15:36,16.00,15.742,38.185,30.148,1
2025-06-30,13:15:40,16.00,15.745,38.182,30.144,1
2025-06-30,13:15:43,16.00,15.748,38.193,30.151,1
2025-06-30,13:15:47,16.00,15.754,38.192,30.146,1
2025-06-30,13:15:50,16.00,15.754,38.207,30.158,1
2025-06-30,13:15:54,16.00,15.758,38.197,30.147,1
2025-06-30,13:15:57,16.00,15.764,38.204,30.148,1
2025-06-30,13:16:01,16.00,15.767,38.224,30.164,1
2025-06-30,13:16:04,16.00,15.771,38.225,30.161,1
2025-06-30,13:16:07,16.00,15.782,38.226,30.154,1
2025-06-30,13:16:11,16.00,15.789,38.228,30.150,1
2025-06-30,13:16:14,16.00,15.794,38.231,30.149,1
2025-06-30,13:16:18,16.00,15.798,38.241,30.154,1
2025-06-30,13:16:21,16.00,15.804,38.242,30.151,1
2025-06-30,13:16:25,16.00,15.801,38.247,30.158,1
2025-06-30,13:16:28,16.00,15.805,38.258,30.164,1
2025-06-30,13:16:32,16.00,15.811,38.263,30.164,1
2025-06-30,13:16:35,16.00,15.818,38.258,30.155,1
2025-06-30,13:16:38,16.00,15.835,38.260,30.143,1
2025-06-30,13:16:42,16.00,15.863,38.262,30.124,1
2025-06-30,13:16:45,16.00,15.864,38.293,30.150,1
2025-06-30,13:16:49,16.00,15.864,38.290,30.148,1
2025-06-30,13:16:52,16.00,15.871,38.301,30.152,1
2025-06-30,13:16:56,16.00,15.898,38.283,30.116,1
2025-06-30,13:16:59,16.00,15.872,38.281,30.133,1
2025-06-30,13:17:03,16.00,15.872,38.279,30.132,1
2025-06-30,13:17:06,16.00,15.874,38.285,30.136,1
2025-06-30,13:17:09,16.00,15.867,38.293,30.147,1
2025-06-30,13:17:13,16.00,15.872,38.291,30.142,1
2025-06-30,13:17:16,16.00,15.879,38.298,30.144,1
2025-06-30,13:17:20,16.00,15.884,38.290,30.132,1
2025-06-30,13:17:23,16.00,15.886,38.304,30.143,1
2025-06-30,13:17:27,16.00,15.884,38.302,30.143,1
2025-06-30,13:17:30,16.00,15.893,38.322,30.153,1
2025-06-30,13:17:34,16.00,15.900,38.328,30.153,1
2025-06-30,13:17:37,16.00,15.903,38.333,30.156,1
2025-06-30,13:17:40,16.00,15.907,38.335,30.154,1
2025-06-30,13:17:44,16.00,15.912,38.331,30.147,1
2025-06-30,13:17:47,16.00,15.918,38.334,30.145,1
2025-06-30,13:17:51,16.00,15.925,38.353,30.157,1
2025-06-30,13:17:54,16.00,15.920,38.343,30.152,1
2025-06-30,13:17:58,16.00,15.923,38.349,30.154,1
2025-06-30,13:18:01,16.00,15.930,38.352,30.151,1
2025-06-30,13:18:05,16.00,15.939,38.363,30.155,1
2025-06-30,13:18:08,16.00,15.942,38.361,30.150,1
2025-06-30,13:18:11,16.00,15.943,38.352,30.142,1
2025-06-30,13:18:15,16.00,15.940,38.347,30.140,1
2025-06-30,13:18:18,16.00,15.950,38.341,30.127,1
2025-06-30,13:18:22,16.00,15.949,38.355,30.140,1
2025-06-30,13:18:25,16.00,15.953,38.376,30.155,1
2025-06-30,13:18:29,16.00,15.966,38.402,30.169,1
2025-06-30,13:18:32,16.00,15.972,38.408,30.169,1
2025-06-30,13:18:36,16.00,15.988,38.406,30.155,1
2025-06-30,13:18:39,16.00,15.978,38.408,30.164,1
2025-06-30,13:18:42,16.00,15.979,38.399,30.156,1
2025-06-30,13:18:46,16.00,15.987,38.376,30.129,1
2025-06-30,13:18:49,16.00,15.993,38.388,30.135,1
2025-06-30,13:18:53,16.00,15.996,38.435,30.175,1
2025-06-30,13:18:56,16.00,15.991,38.431,30.174,1
2025-06-30,13:19:00,16.00,15.996,38.424,30.165,1
2025-06-30,13:19:03,16.00,16.003,38.421,30.156,0
2025-06-30,13:19:07,16.00,16.009,38.416,30.148,0
2025-06-30,13:19:10,16.00,16.017,38.415,30.141,0
2025-06-30,13:19:13,16.00,16.017,38.415,30.141,0
2025-06-30,13:19:17,16.00,16.022,38.426,30.147,0
2025-06-30,13:19:20,16.00,16.028,38.431,30.146,0
2025-06-30,13:19:24,16.00,16.029,38.441,30.154,0
2025-06-30,13:19:27,16.00,16.026,38.467,30.179,0
2025-06-30,13:19:31,18.00,16.033,38.453,30.162,1
2025-06-30,13:19:34,18.00,16.046,38.457,30.155,1
2025-06-30,13:19:38,18.00,16.053,38.454,30.147,1
2025-06-30,13:19:41,18.00,16.057,38.442,30.134,1
2025-06-30,13:19:44,18.00,16.062,38.445,30.132,1
2025-06-30,13:19:48,18.00,16.064,38.443,30.130,1
2025-06-30,13:19:51,18.00,16.065,38.440,30.127,1
2025-06-30,13:19:55,18.00,16.066,38.443,30.128,1
2025-06-30,13:19:58,18.00,16.058,38.454,30.143,1
2025-06-30,13:20:02,18.00,16.055,38.464,30.154,1
2025-06-30,13:20:05,18.00,16.052,38.476,30.167,1
2025-06-30,13:20:09,18.00,16.050,38.454,30.150,1
2025-06-30,13:20:12,18.00,16.053,38.470,30.162,1
2025-06-30,13:20:15,18.00,16.056,38.457,30.148,1
2025-06-30,13:20:19,18.00,16.060,38.458,30.145,1
2025-06-30,13:20:22,18.00,16.066,38.466,30.148,1
2025-06-30,13:20:26,18.00,16.068,38.459,30.140,1
2025-06-30,13:20:29,18.00,16.070,38.472,30.151,1
2025-06-30,13:20:33,18.00,16.075,38.458,30.134,1
2025-06-30,13:20:36,18.00,16.077,38.493,30.163,1
2025-06-30,13:20:40,18.00,16.082,38.492,30.158,1
2025-06-30,13:20:43,18.00,16.073,38.466,30.143,1
2025-06-30,13:20:46,18.00,16.084,38.488,30.153,1
2025-06-30,13:20:50,18.00,16.087,38.487,30.151,1
2025-06-30,13:20:53,18.00,16.093,38.487,30.146,1
2025-06-30,13:20:57,18.00,16.098,38.502,30.155,1
2025-06-30,13:21:00,18.00,16.102,38.508,30.158,1
2025-06-30,13:21:04,18.00,16.109,38.512,30.156,1
2025-06-30,13:21:07,18.00,16.117,38.515,30.153,1
2025-06-30,13:21:11,18.00,16.123,38.517,30.150,1
2025-06-30,13:21:14,18.00,16.130,38.501,30.130,1
2025-06-30,13:21:17,18.00,16.133,38.494,30.122,1
2025-06-30,13:21:21,18.00,16.123,38.497,30.132,1
2025-06-30,13:21:24,18.00,16.126,38.512,30.143,1
2025-06-30,13:21:28,18.00,16.133,38.505,30.131,1
2025-06-30,13:21:31,18.00,16.137,38.519,30.140,1
2025-06-30,13:21:35,18.00,16.143,38.502,30.121,1
2025-06-30,13:21:38,18.00,16.146,38.500,30.117,1
2025-06-30,13:21:42,18.00,16.143,38.535,30.149,1
2025-06-30,13:21:45,18.00,16.140,38.547,30.163,1
2025-06-30,13:21:48,18.00,16.139,38.522,30.142,1
2025-06-30,13:21:52,18.00,16.143,38.539,30.153,1
2025-06-30,13:21:55,18.00,16.149,38.553,30.160,1
2025-06-30,13:21:59,18.00,16.163,38.589,30.182,1
2025-06-30,13:22:02,18.00,16.176,38.595,30.176,1
2025-06-30,13:22:06,18.00,16.183,38.562,30.143,1
2025-06-30,13:22:09,18.00,16.187,38.585,30.160,1
2025-06-30,13:22:13,18.00,16.189,38.599,30.170,1
2025-06-30,13:22:16,18.00,16.196,38.597,30.163,1
2025-06-30,13:22:19,18.00,16.215,38.590,30.143,1
2025-06-30,13:22:23,18.00,16.219,38.584,30.135,1
2025-06-30,13:22:26,18.00,16.223,38.594,30.140,1
2025-06-30,13:22:30,18.00,16.224,38.594,30.140,1
2025-06-30,13:22:33,18.00,16.231,38.621,30.158,1
2025-06-30,13:22:37,18.00,16.241,38.638,30.165,1
2025-06-30,13:22:40,18.00,16.259,38.657,30.168,1
2025-06-30,13:22:44,18.00,16.255,38.652,30.167,1
2025-06-30,13:22:47,18.00,16.248,38.624,30.147,1
2025-06-30,13:22:50,18.00,16.262,38.631,30.143,1
2025-06-30,13:22:54,18.00,16.265,38.632,30.142,1
2025-06-30,13:22:57,18.00,16.267,38.628,30.136,1
2025-06-30,13:23:01,18.00,16.268,38.623,30.132,1
2025-06-30,13:23:04,18.00,16.266,38.639,30.147,1
2025-06-30,13:23:08,18.00,16.263,38.636,30.147,1
2025-06-30,13:23:11,18.00,16.269,38.638,30.144,1
2025-06-30,13:23:15,18.00,16.275,38.639,30.140,1
2025-06-30,13:23:18,18.00,16.270,38.647,30.152,1
2025-06-30,13:23:21,18.00,16.274,38.641,30.143,1
2025-06-30,13:23:25,18.00,16.281,38.620,30.119,1
2025-06-30,13:23:28,18.00,16.287,38.624,30.119,1
2025-06-30,13:23:32,18.00,16.283,38.652,30.145,1
2025-06-30,13:23:35,18.00,16.280,38.650,30.146,1
2025-06-30,13:23:39,18.00,16.288,38.658,30.146,1
2025-06-30,13:23:42,18.00,16.295,38.662,30.145,1
2025-06-30,13:23:46,18.00,16.299,38.668,30.147,1
2025-06-30,13:23:49,18.00,16.304,38.646,30.124,1
2025-06-30,13:23:52,18.00,16.307,38.656,30.130,1
2025-06-30,13:23:56,18.00,16.313,38.664,30.133,1
2025-06-30,13:23:59,18.00,16.315,38.661,30.129,1
2025-06-30,13:24:03,18.00,16.314,38.723,30.184,1
2025-06-30,13:24:06,18.00,16.323,38.675,30.136,1
2025-06-30,13:24:10,18.00,16.331,38.677,30.131,1
2025-06-30,13:24:13,18.00,16.328,38.693,30.147,1
2025-06-30,13:24:17,18.00,16.334,38.692,30.142,1
2025-06-30,13:24:20,18.00,16.339,38.700,30.145,1
